Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10056\trunk\production_files\400236_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       11.10.19
Time:       12.12
Revision:   16991
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P7","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","36.8300","7.6200","0","Pin List 1x8, 2.54mm (100mil), SMD"
"P9","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","54.6100","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P10","Pin List 1x10","BottomLayer","LIST_1x10_SMD-NC","30.2260","55.8800","180","Pin List 1x10, 2.54mm (100mil), SMD"
"P8","Pin List 1x6","BottomLayer","LIST_1x6_SMD-NC","57.1500","7.6200","360","Pin List 1x6, 2.54mm (100mil), SMD"
"P11","Socket 2x3","TopLayer","SOCKET_2x3_SMD-2.54mm-bottom-NC","64.8970","33.0200","270","Socket 2x3, 2.54mm (100mil), SMD"
"SW8","MKH-22D14-G2-B","TopLayer","MKH-22D14-G2-B","5.5276","5.3594","360","Slide Switch DPDT"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8860","58.7756","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P21","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.5628","19.2786","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"P13","Pin Header 2x8","TopLayer","HDR_2x8-NC","36.8300","2.5400","360","Pin Header 2x8, 2.54mm (100mil)"
"P14","Pin Header 2x6","TopLayer","HDR_2x6-NC","57.1500","2.5400","360","Pin Header 2x6, 2.54mm (100mil)"
"P15","Pin Header 2x8","TopLayer","HDR_2x8-NC","54.6100","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P16","Pin Header 2x10","TopLayer","HDR_2x10-NC","30.2260","60.9600","180","Pin Header 2x10, 2.54mm (100mil)"
"R63","1M0","TopLayer","RESC0603X03L_C","1.8502","26.8986","180","Resistor, ±1%, 0.05W"
"R61","39R","TopLayer","RESC0603X03L_C","32.1568","33.4188","90","Resistor, ±1%, 0.05W"
"P6","Socket 1x8","TopLayer","SOCKET_1x8_SMD","77.4700","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P12","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","77.4700","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P17","Pin Header 2x8","TopLayer","HDR_2x8-NC","77.4700","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P24","Socket 2x9","TopLayer","SOCKET_2x9_SMD-2.54mm","95.2500","43.1800","270","Socket 2x9, 2.54mm (100mil), SMD"
"P25","Pin Header 2x10, 1.27mm","TopLayer","HDR_2x10-SMD-1.27mm-NC","79.3750","36.1950","180","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud"
"R86","1M0","TopLayer","RESC0603X03L_C","14.3510","14.5542","360","Resistor, ±1%, 0.05W"
"U13","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","20.4978","15.9766","360","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U14","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","20.4978","14.5669","360","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U21","74LVC1G11","TopLayer","SOT65P210X100-6N","18.8214","10.4140","270","Single 3-input AND gate"
"U15","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","20.4978","13.1572","360","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"C85","100nF","TopLayer","CAPC0603X03L_C","27.5336","28.1940","360","Capacitor, X5R, ±10%"
"C50","100nF","TopLayer","CAPC0603X03L_C","90.9066","21.4122","360","Capacitor, X5R, ±10%"
"R87","1M0","TopLayer","RESC0603X03L_C","28.4480","16.6116","360","Resistor, ±1%, 0.05W"
"R88","10M","TopLayer","RESC0603X03L_C","32.5882","38.4556","90","Resistor, ±1%, 0.05W"
"SW9","JS203011JCQN","TopLayer","Switch-Slide-J-Lead-DP3T-13x3.5mm","23.7490","38.5064","360","Slide Switch DP3T 300mA 6V"
"SW7","Switch","TopLayer","CJS-120xA","82.5500","43.8150","360","SMD slide Switch (ON-ON)"
"U17","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","23.3172","17.8816","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U16","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","25.5778","17.8816","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U8","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","91.9480","23.6220","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"C49","100nF","TopLayer","CAPC0603X03L_C","111.5060","20.4470","180","Capacitor, X5R, ±10%"
"C42","100nF","TopLayer","CAPC0603X03L_C","71.0946","20.1930","360","Capacitor, X5R, ±10%"
"C45","100nF","TopLayer","CAPC0603X03L_C","59.5884","15.9004","90","Capacitor, X5R, ±10%"
"C48","100nF","TopLayer","CAPC0603X03L_C","79.1210","19.9644","360","Capacitor, X5R, ±10%"
"C63","10nF","TopLayer","CAPC0603X03L_C","6.4770","36.8808","360","Capacitor, X7R, ±10%"
"C60","10nF","TopLayer","CAPC0603X03L_C","84.9954","7.3414","270","Capacitor, X7R, ±10%"
"C61","10µF","TopLayer","CAPC1608X06L","92.6230","11.2784","270","Capacitor, X5R, ±20%"
"C62","100nF","TopLayer","CAPC0603X03L_C","91.6324","11.5324","270","Capacitor, X5R, ±10%"
"C66","4.7nF","TopLayer","CAPC0603X03L_C","95.1041","3.3555","90","Chip Cap 0201"
"D60","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","89.4273","10.3398","360","Ultra low capacitance double rail-to-rail ESD protection diode"
"FB65","120R/0.55A","TopLayer","INDC1005X04L","2.0212","25.3170","360","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB63","120R/0.55A","TopLayer","INDC1005X04L","5.9328","28.7790","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB61","120R/0.55A","TopLayer","INDC1005X04L","5.5855","37.7342","180","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB60","120R/0.55A","TopLayer","INDC1005X04L","84.1064","7.3414","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB62","120R/0.55A","TopLayer","INDC1005X04L","93.6136","11.5578","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB64","120R/0.55A","TopLayer","INDC1005X04L","95.9423","3.3555","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"J3","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","89.7293","4.8944","90","MicroUSB-B-SMT"
"J5","FPC 0.5mm RA SMD","TopLayer","FPC_05P-0.5mm-RA-SMD","124.6978","8.1782","0","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
"P22","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.5628","43.0000","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"Q40","PMCPB5530","TopLayer","DFN65P200X200X80_HS-6N","15.1130","38.7350","360","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R40","150k","TopLayer","RESC0603X03L_C","14.6304","36.9316","360","Resistor, ±1%, 0.05W"
"R41","1M0","TopLayer","RESC0603X03L_C","17.1196","38.6842","90","Resistor, ±1%, 0.05W"
"R44","0R","TopLayer","RESC1005X04L","124.2060","22.2250","90","Resistor, ±5%, 0.063W"
"R46","0R","TopLayer","RESC1005X04L","125.1966","22.2250","90","Resistor, ±5%, 0.063W"
"R43","N.C.","TopLayer","RESC1005X04L","123.6686","23.7998","360","Not mounted"
"R45","N.C.","TopLayer","RESC1005X04L","125.7514","23.7998","180","Not mounted"
"R54","N.C.","TopLayer","RESC0603X03L_C","79.7306","13.0810","360","Not mounted"
"R47","220R","TopLayer","RESC0603X03L_C","113.5593","53.9173","360","Resistor, ±1%, 0.05W"
"R48","220R","TopLayer","RESC0603X03L_C","119.8839","53.9173","360","Resistor, ±1%, 0.05W"
"R50","220R","TopLayer","RESC0603X03L_C","113.5593","50.1073","360","Resistor, ±1%, 0.05W"
"R51","220R","TopLayer","RESC0603X03L_C","119.8839","50.1073","360","Resistor, ±1%, 0.05W"
"R62","1M0","TopLayer","RESC0603X03L_C","94.4183","3.3555","90","Resistor, ±1%, 0.05W"
"R83","820k","TopLayer","RESC0603X03L_C","10.5378","13.3858","270","Resistor, ±1%, 0.05W"
"R85","470k","TopLayer","RESC0603X03L_C","10.0044","13.3858","90","Resistor, ±1%, 0.05W"
"SW5","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","77.2922","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","105.6532","13.8298","360","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW2","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","115.9148","13.8298","360","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW3","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","105.6532","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW4","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","115.9148","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW6","MKH-22D14-G2-B","TopLayer","MKH-22D14-G2-B","104.3686","57.9882","180","Slide Switch DPDT"
"U3","MX25R6435F","TopLayer","SON127P600X80_HS-9N","113.9190","23.6728","180","Ultra low power, 64M-bit, serial multi I/O flash memory"
"U5","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","73.9394","19.7104","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U6","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","59.7916","18.5674","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U7","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","81.9404","19.7104","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U18","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","30.1188","17.1862","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U19","TS27L2IPT","TopLayer","TSOP65P640X120-8N","24.9428","25.7810","360","Precision very low power CMOS dual operational amplifier"
"C89","100nF","TopLayer","CAPC0603X03L_C","19.1008","8.4074","180","Capacitor, X5R, ±10%"
"C90","100nF","TopLayer","CAPC0603X03L_C","24.1808","12.4206","180","Capacitor, X5R, ±10%"
"SW10","CAS-220TA","TopLayer","CAS-220TA","20.6248","4.0640","180","Slide Switch DPDT J Hook"
"R90","N.C.","TopLayer","RESC1005X04L","16.3320","43.0254","90","Not mounted"
"U20","74LVC1G08","TopLayer","SOT65P210X100-5N","26.4160","14.6050","180","Single 2-Input AND Gate"
"C93","100nF","TopLayer","CAPC0603X03L_C","25.7556","12.8778","180","Capacitor, X5R, ±10%"
"R92","10M","TopLayer","RESC0603X03L_C","25.3492","4.6228","360","Resistor, ±1%, 0.05W"
"D84","MBRM110E","TopLayer","DO-216AA","19.5072","26.0934","270","Diode Schottky Vf=0.455V @ 100mA, Vr=10V, If=1000mA, Ir=1µA @ 10V"
"Q83","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","35.8394","15.0368","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R94","10M","TopLayer","RESC0603X03L_C","34.3154","14.7574","180","Resistor, ±1%, 0.05W"
"R93","1k","TopLayer","RESC0603X03L_C","36.8300","14.7574","90","Resistor, ±1%, 0.05W"
"C84","470nF","TopLayer","CAPC0603X03L_C","15.4178","28.1940","180","Chip Cap 0201"
"C83","10µF","TopLayer","CAPC1608X06L","8.8900","25.3746","270","Capacitor, X5R, ±20%, 25V"
"C81","15pF","TopLayer","CAPC0603X03L_C","6.4008","24.8666","270","Chip Cap 0201"
"U12","XC9131","TopLayer","10-USPB_(2.9x2.6)","12.3444","26.2636","180","1A Driver Transistor Built-In, Multi Functional Step-Up DC/DC Converter"
"R81","30k","TopLayer","RESC0603X03L_C","7.8486","25.6794","270","Resistor, ±1%, 0.05W"
"R80","270k","TopLayer","RESC0603X03L_C","7.1120","24.8412","270","Resistor, ±1%, 0.05W"
"L80","2.2µH","TopLayer","TY-NR3015","16.1036","25.9334","270","Ferrite Inductor, Shielded, 1,5A, 72mOhm"
"C82","10µF","TopLayer","CAPC1608X06L","10.0838","25.3746","270","Capacitor, X5R, ±20%, 25V"
"C80","10µF","TopLayer","CAPC1608X06L","12.5984","23.5712","360","Capacitor, X5R, ±20%, 25V"
"R3","10k","TopLayer","RESC0603X03L_C","105.4354","53.3146","180","Resistor, ±1%, 0.05W"
"R4","10k","TopLayer","RESC0603X03L_C","78.7908","43.6880","90","Resistor, ±1%, 0.05W"
"C4","0.5pF","TopLayer","CAPC1005X04L","122.5701","38.9382","270","Capacitor, NP0, ±0.05pF"
"C10","N.C.","TopLayer","CAPC1005X04L","120.9191","40.1574","90","Not mounted"
"L1","4.7nH","TopLayer","INDC1005X04L","121.1376","38.3848","360","Inductor, 160mA, ±0.1nH"
"C3","0.8pF","TopLayer","CAPC1005X04L","119.7152","38.8928","270","Capacitor, NP0, ±5%"
"C22","N.C.","TopLayer","CAPC1005X04L","125.4226","38.9348","90","Not mounted"
"C11","100pF","TopLayer","CAPC1005X04L","120.6636","41.5424","0","Capacitor, NP0, ±5%"
